State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Madhya Pradesh,NEEMUCH,2010,Kharif     ,Maize,29692,56782
Odisha,NAYAGARH,2002,Kharif     ,Maize,417,325.3
Odisha,JAGATSINGHAPUR,2013,Winter     ,Rice,79000,159000
Uttar Pradesh,CHITRAKOOT,2010,Rabi       ,Masoor,18285,5504
Assam,BONGAIGAON,2008,Winter     ,Rice,36346,41200
Uttar Pradesh,MATHURA,2001,Rabi       ,Masoor,64,51
Odisha,NAYAGARH,2010,Winter     ,Groundnut,174,215.9
Telangana ,RANGAREDDI,2009,Kharif     ,Arhar/Tur,33938,14220
Odisha,BARGARH,2001,Kharif     ,Urad,7021,1502.6
Odisha,BOUDH,2001,Kharif     ,Arhar/Tur,2970,2670
Bihar,MADHUBANI,2000,Rabi       ,Khesari,2845,2785
Madhya Pradesh,ALIRAJPUR,2008,Whole Year ,Onion,84,832
Odisha,MALKANGIRI,1998,Autumn     ,Jute,8,50
Odisha,JAGATSINGHAPUR,2000,Kharif     ,Other Kharif pulses,100,40
